region_name,year,IDH,ALFTOT,ALFHOM,ALFMUJ,AGUA,SANEAM,ALUMBR,POBRENBI,POBEXTNBI,POBRELINEA,PROBEXTLINEA,INGNETOMENS,MONOPARMUJ,MONOPARHOM,MEDESCMUJ,PROMESCMUJ,PROMESCHOM,POTENGEN,PORCPEAXCASA,PORCPEADESOCXCASA,IDE,DESAGUE,ADHRATIOMASFEM,AGUASEG
La Libertad,2010,0.621,88.6,93.3,84.3,68.4,83.7,77.9,,,32.6,12.2,460.7,,,,,,,,,0.673,,,12.9
La Libertad,2011,0.621,91.2,95.2,87.6,83.8,93,87.2,,,29.4,8.2,460.7,,,,,,,,,0.673,,,9.9
La Libertad,2012,0.621,88.5,88.8,88.2,84.7,88.4,88.4,,,30.6,8.4,763.3,,,,,,,,,0.673,,,
Lambayeque,2001,0.625,92.5,95.1,90.4,85,75,,48.6,19,,,,,,,,,,,,,,,
Lambayeque,2002,0.625,89.5,92,87.1,73.4,87.7,70.6,38.7,11,63,19.9,,,,,,,,,,,,,
Lambayeque,2003,0.625,89.5,92,87.1,73.4,87.7,70.6,32.4,,62.1,22.4,401.6,38.7,24.4,5.8,8,8.2,0.449,43.7,-4.7,,,,
Lambayeque,2004,0.625,91,93.9,88.5,72,69.5,77.3,,,44.4,10,371.7,,,,8.8,9.1,0.449,,,,,,
Lambayeque,2005,0.617,91,93.9,88.5,72,69.5,77.3,,,46.7,12.5,371.7,,,,8.8,9.1,,,,,,1.1,
Lambayeque,2006,0.627,93.37,96.04,90.71,65,58.3,74.3,,,46.7,12.5,329.9,,,,7.74,8.74,,,,,,1.1,
Lambayeque,2007,0.627,93.4,96,90.7,68.2,60.6,77.4,,,41.1,9.5,329.9,,,,7.74,8.74,,,,,,1.1,
Lambayeque,2008,0.627,89.9,93.7,86.4,78.8,86.5,83.8,,,31.6,4.9,394,,,,9.2,8.9,,,,,,1.1,
Lambayeque,2009,0.618,90.1,93.9,86.6,80,12.9,87.9,,,31.8,6.5,408.6,,,,10.7,10.2,,,,0.71,89,,
Lambayeque,2010,0.618,89.9,94.6,85.4,74.9,89,89.7,,,35.3,6.4,416.6,,,,,,,,,0.71,,,7.5
Lambayeque,2011,0.618,90.7,93.6,88.1,83.3,87.5,92,,,30.4,2.6,416.6,,,,,,,,,0.71,,,9.5
Lambayeque,2012,0.618,90.9,91.6,90.2,79.6,92.2,92.2,,,25.2,4.1,664.9,,,,,,,,,0.71,,,
Lima,2001,0.747,96.3,98.5,94.2,85.7,87,,34.5,11.8,,,,,,,,,,,,,,,
Lima,2002,0.747,96.1,98.5,93.8,86.4,92.8,94.4,26.1,7,33.4,3.1,,,,,,,,,,,,,
Lima,2003,0.747,96.1,98.5,93.8,86.4,92.8,94.4,19.8,,35.8,3.9,628.6,21.9,9.8,9.1,9.7,10.4,0.636,46,-0.4,,,,
Lima,2004,0.747,97.1,98.6,95.6,88.7,94.3,96.2,,,35.7,4.5,730.1,,,,10.2,10.4,0.636,,,,,,
Lima,2005,0.72,97.1,98.6,95.6,88.7,94.3,96.2,,,37.1,4.2,730.1,,,,10.2,10.4,,,,,,1.07,
Lima,2006,0.703,98.15,99.28,97.04,81.6,80,93,,,37.1,4.2,522.8,,,,10.06,10.74,,,,,,1.07,
Lima,2007,0.703,98.2,99.3,97,83.5,81.7,92.7,,,25.1,1.4,522.8,,,,10.06,10.74,,,,,,1.07,
Lima,2008,0.703,95.6,97.7,93.8,86.5,94.9,98.8,,,17.9,1.2,680.6,,,,11,10.5,,,,,,1.07,
Lima,2009,0.679,96.1,98.3,94,86.7,54.4,98.7,,,15.4,0.8,709.7,,,,11.8,11.7,,,,0.877,95.2,,
Lima,2010,0.679,96.1,98.1,94.2,89.1,96.2,98.9,,,13.3,1.1,720.5,,,,,,,,,0.877,,,51
Lima,2011,0.679,96.2,98,94.6,96.2,96.5,99.3,,,15.4,0.7,720.5,,,,,,,,,0.877,,,54.6
Lima,2012,0.679,95.4,96.7,94.2,86.2,96.5,96.5,,,14.4,0.7,1021.6,,,,,,,,,0.877,,,
Loreto,2001,0.563,93.1,97,89.4,52.6,51,,78.7,52.8,,,,,,,,,,,,,,,
Loreto,2002,0.563,92,96.2,87.6,35.6,63,52.4,62.2,34.6,70,47.2,,,,,,,,,,,,,
Loreto,2003,0.563,92,96.2,87.6,35.6,63,52.4,50.3,,66.3,40.8,240.3,54.5,26,4.7,7.3,8.4,0.583,44.1,5.4,,,,
Loreto,2004,0.563,96,97.7,94.2,40.3,43.5,58.4,,,70,40.5,249.9,,,,7.5,7.9,0.583,,,,,,
Loreto,2005,0.563,96,97.7,94.2,40.3,43.5,58.4,,,62.7,32,249.9,,,,7.5,7.9,,,,,,0.97,
Loreto,2006,0.566,96.25,98.65,93.59,31.7,27.7,52.3,,,62.7,32,266.9,,,,7.27,8.59,,,,,,0.97,
Loreto,2007,0.566,96.3,98.7,93.6,30.4,29.6,56.6,,,66.3,33.9,266.9,,,,7.27,8.59,,,,,,0.97,
Loreto,2008,0.566,90.8,94.1,87.2,31.1,46.6,60.4,,,49.8,21.2,314.4,,,,8.7,8,,,,,,0.97,
Loreto,2009,0.589,90.8,94.8,86.4,42.4,9,62.6,,,56,27.3,316.5,,,,9.6,8.9,,,,0.533,47.3,,
Loreto,2010,0.589,92.9,95.5,90,40.9,55.9,61.2,,,49.1,20.9,349.8,,,,,,,,,0.533,,,8.2
Loreto,2011,0.589,92,95,88.7,58.9,59.9,68.9,,,48.1,14.6,349.8,,,,,,,,,0.533,,,5.7
Loreto,2012,0.589,91.2,93,89.5,29,68.7,68.7,,,41.8,13.4,555.2,,,,,,,,,0.533,,,
Madre de Dios,2001,0.621,90,97.5,81.4,52.9,58.7,,76.8,45.4,,,,,,,,,,,,,,,
Madre de Dios,2002,0.621,92.7,96.8,87.7,55.9,81,70.1,54.5,16.6,36.7,11.5,,,,,,,,,,,,,
Madre de Dios,2003,0.621,92.7,96.8,87.7,55.9,81,70.1,34.9,,50.7,16.4,272.6,29.8,8.1,5.4,7.8,8.8,0.446,53.2,12.6,,,,
Madre de Dios,2004,0.621,94.9,97,92.7,43.8,45,63.6,,,32.4,7.4,410.7,,,,8.3,8.7,0.446,,,,,,
Madre de Dios,2005,0.601,94.9,97,92.7,43.8,45,63.6,,,20.4,4.5,410.7,,,,8.3,8.7,,,,,,1.06,
Madre de Dios,2006,0.6,96.65,98.52,93.98,59.6,28.6,58.3,,,20.4,4.5,354.7,,,,8.04,9.61,,,,,,1.06,
Madre de Dios,2007,0.6,96.6,98.5,94,60,29.7,65.2,,,21.8,4.3,354.7,,,,8.04,9.61,,,,,,1.06,
Madre de Dios,2008,0.6,93.4,96,90.4,46.2,86.6,71.4,,,17.4,3.9,431.2,,,,9,8.6,,,,,,1.06,
Madre de Dios,2009,0.63,93.1,97.1,88.7,57.9,42,76.5,,,12.7,1.8,443.9,,,,10.5,9.9,,,,0.69,82.3,,
Madre de Dios,2010,0.63,92.8,96.4,88.7,61.1,82.7,74.3,,,8.7,2.3,500.5,,,,,,,,,0.69,,,37.8
Madre de Dios,2011,0.63,94.6,97.6,91.5,79.7,86.1,87.9,,,4.1,0.1,500.5,,,,,,,,,0.69,,,38.7
Madre de Dios,2012,0.63,92.5,93.4,91.5,65.4,88.4,88.4,,,2.4,0.2,1103.4,,,,,,,,,0.69,,,
Moquegua,2001,0.666,90,94.4,85.9,77.3,68.1,,47.9,20.3,,,,,,,,,,,,,,,
Moquegua,2002,0.666,92.6,97.8,87.1,85.9,83.8,79.2,37,10.4,29.6,7.6,,,,,,,,,,,,,
Moquegua,2003,0.666,92.6,97.8,87.1,85.9,83.8,79.2,22.5,,35.8,10.6,434.6,24.3,9,7.2,8.7,9.1,0.588,52.4,2.6,,,,
Moquegua,2004,0.666,90.7,96.1,85.4,84.4,76.6,77.1,,,34,6.6,397.3,,,,10,10.1,0.588,,,,,,
Moquegua,2005,0.65,90.7,96.1,85.4,84.4,76.6,77.1,,,37.2,10.5,397.3,,,,10,10.1,,,,,,1.09,
Moquegua,2006,0.644,93.08,97.15,88.41,78.6,57.8,76.4,,,37.2,10.5,364,,,,8.6,9.77,,,,,,1.09,
Moquegua,2007,0.644,93.1,97.2,88.4,81.8,60.3,80.7,,,27.3,3.9,364,,,,8.6,9.77,,,,,,1.09,
Moquegua,2008,0.644,91.1,96.5,85.4,86.7,89.7,92,,,30.2,7.7,592.7,,,,10.2,9.8,,,,,,1.09,
Moquegua,2009,0.653,92.9,96.6,89.3,92.6,30.7,92.4,,,19.3,3.7,605.7,,,,11.7,11.4,,,,0.769,92,,
Moquegua,2010,0.653,92.8,96.5,89,91.6,90.3,94,,,15.7,3.5,701,,,,,,,,,0.769,,,41.2
Moquegua,2011,0.653,92.5,96.3,88.6,92.5,94.1,94.3,,,10.9,1.9,701,,,,,,,,,0.769,,,34
Moquegua,2012,0.653,93.3,94.6,91.9,82.3,90.7,90.7,,,9.6,1.2,1268,,,,,,,,,0.769,,,
Pasco,2001,0.575,89.9,96.5,82.1,57.8,29.6,,81.2,44.6,,,,,,,,,,,,,,,
Pasco,2002,0.575,89.1,95.2,82.9,61.7,47.5,66.8,71.5,27.8,66.1,33.2,,,,,,,,,,,,,
Pasco,2003,0.575,89.1,95.2,82.9,61.7,47.5,66.8,39.7,,65.6,32.1,207.2,64.3,32,5.1,7.2,7.9,0.501,47.2,8.1,,,,
Pasco,2004,0.575,91.6,96,87.3,40.7,58,58,,,58.6,24.7,240.6,,,,8.4,8.5,0.501,,,,,,
Pasco,2005,0.591,91.6,96,87.3,40.7,58,58,,,61.6,27.3,240.6,,,,8.4,8.5,,,,,,1.09,
Pasco,2006,0.575,86.85,93.88,79.68,43.1,27.9,70.2,,,61.6,27.3,193,,,,6.75,8.58,,,,,,1.09,
Pasco,2007,0.575,86.8,93.9,79.7,32.8,31.5,76.3,,,71.2,31,193,,,,6.75,8.58,,,,,,1.09,
Pasco,2008,0.575,86.6,93.2,79.9,32.7,43.5,80.1,,,64.3,31.3,273,,,,9,8.7,,,,,,1.09,
Pasco,2009,0.589,87.3,94.6,80.3,39.2,0.8,80.3,,,55.4,23.9,306.6,,,,10.7,10.3,,,,0.583,53.8,,
Pasco,2010,0.589,88.4,94.5,82.4,38.7,55.4,77.5,,,43.6,13.8,336.3,,,,,,,,,0.583,,,3.4
Pasco,2011,0.589,89.7,95.9,83.9,36.9,59.4,84.4,,,40.7,10,336.3,,,,,,,,,0.583,,,0.4
Pasco,2012,0.589,90,91.7,88.3,73.1,69.9,69.9,,,41.9,10.7,562.1,,,,,,,,,0.583,,,
Piura,2001,0.551,88.7,92.7,85.1,65.9,49.3,,70.3,41.1,,,,,,,,,,,,,,,
Piura,2002,0.551,86.9,91.1,82.8,65,68.7,63.1,53,19.3,63.3,21.4,,,,,,,,,,,,,
Piura,2003,0.551,86.9,91.1,82.8,65,68.7,63.1,37.7,,64,28,259.9,45.3,40.1,5.4,7.1,7.6,0.53,44.5,2.4,,,,
Piura,2004,0.551,89.9,93.4,86.6,67.4,75.3,56.2,,,62.6,22,252.1,,,,8.1,8.5,0.53,,,,,,
Piura,2005,0.556,89.9,93.4,86.6,67.4,75.3,56.2,,,60.9,20.8,252.1,,,,8.1,8.5,,,,,,1.02,
Piura,2006,0.571,88.39,91.69,85.03,56.9,39.7,60,,,60.9,20.8,265.7,,,,6.41,7.28,,,,,,1.02,
Piura,2007,0.571,88.4,91.7,85,59.6,40.9,64.2,,,54,13.1,265.7,,,,6.41,7.28,,,,,,1.02,
Piura,2008,0.571,88.3,92.7,83.9,67.9,72.9,75.4,,,41.4,10.1,339.8,,,,8.8,8.5,,,,,,1.02,
Piura,2009,0.598,88.6,93.3,83.8,66.3,9.6,77.7,,,39.6,9.6,377.4,,,,10.3,10.1,,,,0.609,75.2,,
Piura,2010,0.598,87.7,93,82.7,65.7,78.4,78.8,,,42.5,10.5,376.7,,,,,,,,,0.609,,,8.1
Piura,2011,0.598,90.1,93.3,87.1,78,84.1,87.5,,,35.2,8.3,376.7,,,,,,,,,0.609,,,9.8
Piura,2012,0.598,88.2,87.7,88.6,75.9,77.1,77.1,,,34.9,6.9,681.3,,,,,,,,,0.609,,,
Puno,2001,0.512,79.2,90.6,69,74.5,41,,73.5,33.7,,,,,,,,,,,,,,,
Puno,2002,0.512,79.5,89.5,69.8,51.1,58.2,45.4,49.7,10.4,78,46.1,,,,,,,,,,,,,
Puno,2003,0.512,79.5,89.5,69.8,51.1,58.2,45.4,43,,79.7,49.8,231,75.9,43.1,3.9,6.8,8.3,0.458,61.3,18.2,,,,
Puno,2004,0.512,83,91.1,75.1,30,58.2,49.5,,,77.8,47.3,207.7,,,,7.8,9,0.458,,,,,,
Puno,2005,0.55,83,91.1,75.1,30,58.2,49.5,,,79.2,49.8,207.7,,,,7.8,9,,,,,,1.19,
Puno,2006,0.547,82.81,94.5,70.94,45.7,27.6,53.6,,,79.2,49.8,147.3,,,,4.68,7.54,,,,,,1.19,
Puno,2007,0.547,82.8,94.5,70.9,48.8,31.9,60.1,,,76.3,41.6,147.3,,,,4.68,7.54,,,,,,1.19,
Puno,2008,0.547,80.4,93.3,67.8,42.1,72.5,76.1,,,62.8,27.4,260.4,,,,8.9,7.6,,,,,,1.19,
Puno,2009,0.561,80.3,93.1,67.7,36.6,4,78.4,,,60.8,25.9,277.1,,,,11,9.7,,,,0.582,77.3,,
Puno,2010,0.561,81.3,93.4,70.1,40.1,80.5,83.5,,,56,23.9,297.6,,,,,,,,,0.582,,,4.9
Puno,2011,0.561,84.8,94.5,75.2,70.1,81.7,84.6,,,39.1,9.6,297.6,,,,,,,,,0.582,,,2.7
Puno,2012,0.561,91.1,91.8,90.4,55.6,78,78,,,35.9,10,541.2,,,,,,,,,0.582,,,
San Martin,2001,0.553,90.2,93.7,86.4,57.3,64.3,,71.9,46.8,,,,,,,,,,,,,,,
San Martin,2002,0.553,89.6,96.8,81.6,62.1,82.5,52.7,59.9,26.3,66.9,36.2,,,,,,,,,,,,,
San Martin,2003,0.553,89.6,96.8,81.6,62.1,82.5,52.7,42.1,,54.3,25,216.2,49.2,22.2,5.1,6.9,7.3,0.498,47.8,4.8,,,,
San Martin,2004,0.553,92.7,95.8,89.2,66.4,69.1,62.9,,,60.5,24.5,221,,,,7.4,7.7,0.498,,,,,,
San Martin,2005,0.525,92.7,95.8,89.2,66.4,69.1,62.9,,,57.1,24,221,,,,7.4,7.7,,,,,,0.98,
San Martin,2006,0.574,94.94,97.41,91.76,58.7,26.8,55.4,,,57.1,24,233.7,,,,6.6,7.59,,,,,,0.98,
San Martin,2007,0.574,94.9,97.4,91.8,60.4,29.8,59.9,,,54.3,17.2,233.7,,,,6.6,7.59,,,,,,0.98,
San Martin,2008,0.574,90.9,94.5,87.1,69.1,90.5,64.8,,,33.2,9.2,354,,,,8.2,7.9,,,,,,0.98,
San Martin,2009,0.59,90.9,94.6,87,68.5,16.3,67.6,,,44.1,12,342.3,,,,9.5,9.3,,,,0.579,89.2,,
San Martin,2010,0.59,91.4,94,88.7,63.2,88.1,69.7,,,31.1,9.9,395.3,,,,,,,,,0.579,,,7.4
San Martin,2011,0.59,91.7,95.5,87.9,63.8,91.7,78.9,,,31,6,395.3,,,,,,,,,0.579,,,16
San Martin,2012,0.59,89.3,90.6,87.9,65.4,93.8,93.8,,,29.6,5.6,686.5,,,,,,,,,0.579,,,
Tacna ,2001,0.681,93.6,98.9,88.5,88.1,80.5,,38.7,14,,,,,,,,,,,,,,,
Tacna ,2002,0.681,93,97.1,88.8,90.1,90.5,91.5,21.5,5.6,32.8,5.2,,,,,,,,,,,,,
Tacna ,2003,0.681,93,97.1,88.8,90.1,90.5,91.5,21.3,,32,6,498,26.2,6.6,7.4,8.9,9.2,0.557,55.2,3.8,,,,
Tacna ,2004,0.681,96,98.2,93.9,93.8,91.7,92.8,,,29.7,8.1,581.7,,,,9.9,10.1,0.557,,,,,,
Tacna ,2005,0.665,96,98.2,93.9,93.8,91.7,92.8,,,26.7,5.2,581.7,,,,9.9,10.1,,,,,,1.06,
Tacna ,2006,0.669,96.96,99.14,94.28,79.4,75.3,88.3,,,26.7,5.2,399.2,,,,9.19,10.43,,,,,,1.06,
Tacna ,2007,0.669,97,99.1,94.3,79.4,76.6,91.7,,,19.8,3.3,399.2,,,,9.19,10.43,,,,,,1.06,
Tacna ,2008,0.669,95.8,98.6,93.1,88.5,93.2,95.6,,,16.5,2.1,633.7,,,,10.8,10.2,,,,,,1.06,
Tacna ,2009,0.647,95.2,98,92.6,88.2,57.5,95.6,,,17.5,1.6,618.6,,,,11.8,11.5,,,,0.826,92.8,,
Tacna ,2010,0.647,94.6,97.8,91.5,90.6,94.8,95.5,,,14,3,649.7,,,,,,,,,0.826,,,48
Tacna ,2011,0.647,93.4,97.5,89.4,95.9,96.5,97.2,,,16.6,1.5,649.7,,,,,,,,,0.826,,,52.7
Tacna ,2012,0.647,93.3,94.8,91.9,84.8,94.7,94.7,,,11.7,0.8,911.7,,,,,,,,,0.826,,,
Tumbes,2001,0.62,91.9,92.7,91,74.4,71.2,,61.6,30.8,,,,,,,,,,,,,,,
Tumbes,2002,0.62,93.4,93.8,93,86.7,85.2,84.4,52.8,23.6,46.8,7.4,,,,,,,,,,,,,
Tumbes,2003,0.62,93.4,93.8,93,86.7,85.2,84.4,26.9,,38.4,7.1,316.1,25,31.2,6.5,8,8.3,0.624,50,0.3,,,,
Tumbes,2004,0.62,94.9,95.6,94.1,69.1,56.3,87.3,,,27.5,2.4,370.9,,,,9.1,9.1,0.624,,,,,,
Tumbes,2005,0.61,94.9,95.6,94.1,69.1,56.3,87.3,,,21.6,1.1,370.9,,,,9.1,9.1,,,,,,0.99,
Tumbes,2006,0.617,96.47,98.35,94.39,58.5,49.1,81.9,,,21.6,1.1,444.6,,,,8.51,9.04,,,,,,0.99,
Tumbes,2007,0.617,96.5,98.4,94.4,62.4,51.1,78.4,,,15.8,0.4,444.6,,,,8.51,9.04,,,,,,0.99,
Tumbes,2008,0.617,95.4,96,94.8,67.7,78,93.1,,,17.2,2.2,397.7,,,,8.8,9.1,,,,,,0.99,
Tumbes,2009,0.649,95,95.3,94.7,72.5,30.8,93,,,22.1,3.7,416.6,,,,10.6,10.8,,,,0.708,83,,
Tumbes,2010,0.649,94.9,95.4,94.3,77.5,83.7,94.8,,,20.1,0.9,447,,,,,,,,,0.708,,,34.7
Tumbes,2011,0.649,95.3,95.6,94.9,84.3,88.7,97,,,13.9,0.7,447,,,,,,,,,0.708,,,10.8
Tumbes,2012,0.649,90.5,91,90.1,66.3,86.7,86.7,,,11.7,0.7,858.9,,,,,,,,,0.708,,,
Ucayali,2001,0.565,96.5,98.4,94.5,66.7,60.5,,73.3,43.9,,,,,,,,,,,,,,,
Ucayali,2002,0.565,90.9,93.7,87.9,32.1,80,55.6,61.3,26.9,70.5,44.9,,,,,,,,,,,,,
Ucayali,2003,0.565,90.9,93.7,87.9,32.1,80,55.6,44.4,,69.3,43.6,240.6,56.3,35,5.3,6.8,7.9,0.514,42.4,4.4,,,,
Ucayali,2004,0.565,93.9,96.3,91.4,51,45.2,59.5,,,63.9,41.6,240.3,,,,8.1,8.5,0.514,,,,,,
Ucayali,2005,0.563,93.9,96.3,91.4,51,45.2,59.5,,,55.8,30.2,240.3,,,,8.1,8.5,,,,,,1.11,
Ucayali,2006,0.576,94.91,96.12,93.45,31.6,22.7,60.8,,,55.8,30.2,311,,,,7.68,8.59,,,,,,1.11,
Ucayali,2007,0.576,94.9,96.1,93.5,36.4,25.4,65,,,54,22.8,311,,,,7.68,8.59,,,,,,1.11,
Ucayali,2008,0.576,92.5,94.8,90,26.2,40.7,65.3,,,32.5,10.4,359.5,,,,8.9,8.3,,,,,,1.11,
Ucayali,2009,0.602,92.8,95,90.6,40.5,4.1,69.2,,,29.7,8.5,381.9,,,,10.1,9.7,,,,0.574,39,,
Ucayali,2010,0.602,92.6,95.8,89.2,54.2,39.7,67.3,,,20.3,5.3,376,,,,,,,,,0.574,,,5.1
Ucayali,2011,0.602,94.5,96.9,92,77.4,37.4,61.3,,,13.5,2.9,376,,,,,,,,,0.574,,,7.8
Ucayali,2012,0.602,92.3,94.2,90.2,42.3,88.6,88.6,,,13.2,0.9,595.7,,,,,,,,,0.574,,,
